draw_number,(953.5+0j)
date,(20119705.88358209+0j)
num1,(22.44626865671642+0j)
num2,(22.671641791044777+0j)
num3,(23.02238805970149+0j)
num4,(23.17910447761194+0j)
num5,(23.592537313432835+0j)
num6,(22.764179104477613+0j)
num7,(23.01044776119403+0j)
sup1,(22.970149253731343+0j)
sup2,(22.777611940298506+0j)
p-1-num1,(22.465671641791044+0j)
p-1-num2,(22.711940298507464+0j)
p-1-num3,(23.03134328358209+0j)
p-1-num4,(23.207462686567165+0j)
p-1-num5,(23.611940298507463+0j)
p-1-num6,(22.78358208955224+0j)
p-1-num7,(23.007462686567166+0j)
p-1-sup1,(22.970149253731343+0j)
p-1-sup2,(22.81940298507463+0j)
p-2-num1,(22.423880597014925+0j)
p-2-num2,(22.741791044776118+0j)
p-2-num3,(23.035820895522388+0j)
p-2-num4,(23.217910447761195+0j)
p-2-num5,(23.595522388059702+0j)
p-2-num6,(22.761194029850746+0j)
p-2-num7,(23.049253731343285+0j)
p-2-sup1,(22.940298507462686+0j)
p-2-sup2,(22.82537313432836+0j)
p-3-num1,(22.47910447761194+0j)
p-3-num2,(22.713432835820896+0j)
p-3-num3,(23.029850746268657+0j)
p-3-num4,(23.20597014925373+0j)
p-3-num5,(23.561194029850746+0j)
p-3-num6,(22.725373134328358+0j)
p-3-num7,(23.059701492537314+0j)
p-3-sup1,(22.986567164179103+0j)
p-3-sup2,(22.761194029850746+0j)
p-4-num1,(22.52686567164179+0j)
p-4-num2,(22.708955223880597+0j)
p-4-num3,(23.01492537313433+0j)
p-4-num4,(23.188059701492538+0j)
p-4-num5,(23.577611940298507+0j)
p-4-num6,(22.723880597014926+0j)
p-4-num7,(23.056716417910447+0j)
p-4-sup1,(22.95223880597015+0j)
p-4-sup2,(22.740298507462686+0j)
p-5-num1,(22.550746268656717+0j)
p-5-num2,(22.717910447761195+0j)
p-5-num3,(22.97313432835821+0j)
p-5-num4,(23.13582089552239+0j)
p-5-num5,(23.595522388059702+0j)
p-5-num6,(22.6955223880597+0j)
p-5-num7,(23.064179104477613+0j)
p-5-sup1,(22.964179104477612+0j)
p-5-sup2,(22.78805970149254+0j)
p-6-num1,(22.51194029850746+0j)
p-6-num2,(22.7044776119403+0j)
p-6-num3,(22.955223880597014+0j)
p-6-num4,(23.098507462686566+0j)
p-6-num5,(23.594029850746267+0j)
p-6-num6,(22.726865671641793+0j)
p-6-num7,(23.044776119402986+0j)
p-6-sup1,(22.961194029850745+0j)
p-6-sup2,(22.77313432835821+0j)
p-7-num1,(22.535820895522388+0j)
p-7-num2,(22.747761194029852+0j)
p-7-num3,(22.928358208955224+0j)
p-7-num4,(23.082089552238806+0j)
p-7-num5,(23.65820895522388+0j)
p-7-num6,(22.746268656716417+0j)
p-7-num7,(23.038805970149255+0j)
p-7-sup1,(22.97910447761194+0j)
p-7-sup2,(22.75223880597015+0j)
p-8-num1,(22.534328358208956+0j)
p-8-num2,(22.737313432835823+0j)
p-8-num3,(22.908955223880596+0j)
p-8-num4,(23.03731343283582+0j)
p-8-num5,(23.65820895522388+0j)
p-8-num6,(22.725373134328358+0j)
p-8-num7,(23.049253731343285+0j)
p-8-sup1,(22.986567164179103+0j)
p-8-sup2,(22.737313432835823+0j)
p-9-num1,(22.565671641791045+0j)
p-9-num2,(22.728358208955225+0j)
p-9-num3,(22.961194029850745+0j)
p-9-num4,(23.068656716417912+0j)
p-9-num5,(23.682089552238807+0j)
p-9-num6,(22.740298507462686+0j)
p-9-num7,(23.02238805970149+0j)
p-9-sup1,(22.998507462686568+0j)
p-9-sup2,(22.75223880597015+0j)
p-10-num1,(22.61044776119403+0j)
p-10-num2,(22.69402985074627+0j)
p-10-num3,(22.97313432835821+0j)
p-10-num4,(23.092537313432835+0j)
p-10-num5,(23.67462686567164+0j)
p-10-num6,(22.78955223880597+0j)
p-10-num7,(23.02537313432836+0j)
p-10-sup1,(22.95671641791045+0j)
p-10-sup2,(22.744776119402985+0j)
p-1,(3.1984496e-317+3.1984506e-317j)
p-2,(3.19845e-317+3.19845e-317j)
p-3,(3.19845e-317+3.1984506e-317j)
p-4,(3.1984506e-317+3.1984496e-317j)
p-5,(3.1984496e-317+3.1984506e-317j)
p-6,(3.1984506e-317+3.1984506e-317j)
p-7,(3.19845e-317+3.1984506e-317j)
p-8,(3.1984506e-317+3.1984496e-317j)
p-9,(3.19845e-317+3.1984506e-317j)
p-10,(3.1984506e-317+3.19845e-317j)
current,(3.19845e-317+3.19845e-317j)
random,(3.1984506e-317+3.1984506e-317j)
random-ticket,(3.1984506e-317+3.1984506e-317j)
random-ticket-12,(3.19845e-317+3.1984506e-317j)
random-ticket-15,(3.19845e-317+3.1984506e-317j)
random-ticket-21,(3.1984496e-317+3.1984496e-317j)
low-appearing-rate-nums-12,(3.1984506e-317+3.1984496e-317j)
low-appearing-rate-nums-12-remove-ticket,(3.19845e-317+3.19845e-317j)
low-appearing-rate-nums-6,(3.19845e-317+3.1984506e-317j)
low-appearing-rate-nums-6-remove-ticket,(3.1984506e-317+3.1984496e-317j)
low-appearing-rate-num-each-10,(3.1984496e-317+3.1984506e-317j)
low-appearing-rate-num-each-10-remove-ticket,(3.19845e-317+3.19845e-317j)
low-appearing-rate-num-each-7,(3.19845e-317+3.19845e-317j)
low-appearing-rate-num-each-7-remove-ticket,(3.1984496e-317+3.1984506e-317j)
high-appearing-rate-nums-12,(3.1984506e-317+3.19845e-317j)
high-appearing-rate-nums-12-select-ticket,(3.1984506e-317+3.19845e-317j)
high-appearing-rate-nums-12-select-ticket-8,(3.19845e-317+3.19845e-317j)
high-appearing-rate-nums-15,(3.1984496e-317+3.1984506e-317j)
high-appearing-rate-nums-15-select-ticket,(3.1984506e-317+3.1984496e-317j)
high-appearing-rate-nums-15-select-ticket-8,(3.1984506e-317+3.19845e-317j)
high-appearing-rate-nums-21,(3.19845e-317+3.19845e-317j)
high-appearing-rate-nums-21-select-ticket,(3.1984496e-317+3.1984506e-317j)
high-appearing-rate-nums-21-select-ticket-8,(3.19845e-317+3.1984506e-317j)
high-appearing-rate-num-each-10,(3.19845e-317+3.19845e-317j)
high-appearing-rate-num-each-10-select-ticket,(3.19845e-317+3.19845e-317j)
base-line-appear,(0.7238805970149254+0j)
base-line-appear-count,(1.1328358208955225+0j)
p-1-num1-appear,(0.14328358208955225+0j)
p-1-num2-appear,(0.17164179104477612+0j)
p-1-num3-appear,(0.16268656716417912+0j)
p-1-num4-appear,(0.15970149253731344+0j)
p-1-num5-appear,(0.1373134328358209+0j)
p-1-num6-appear,(0.16417910447761194+0j)
p-1-num7-appear,(0.14029850746268657+0j)
p-2-num1-appear,(0.14029850746268657+0j)
p-2-num2-appear,(0.15671641791044777+0j)
p-2-num3-appear,(0.1492537313432836+0j)
p-2-num4-appear,(0.15671641791044777+0j)
p-2-num5-appear,(0.17761194029850746+0j)
p-2-num6-appear,(0.18358208955223881+0j)
p-2-num7-appear,(0.16567164179104477+0j)
p-3-num1-appear,(0.1492537313432836+0j)
p-3-num2-appear,(0.1701492537313433+0j)
p-3-num3-appear,(0.16119402985074627+0j)
p-3-num4-appear,(0.12686567164179105+0j)
p-3-num5-appear,(0.16268656716417912+0j)
p-3-num6-appear,(0.15970149253731344+0j)
p-3-num7-appear,(0.16716417910447762+0j)
p-4-num1-appear,(0.14328358208955225+0j)
p-4-num2-appear,(0.16417910447761194+0j)
p-4-num3-appear,(0.15223880597014924+0j)
p-4-num4-appear,(0.1492537313432836+0j)
p-4-num5-appear,(0.15671641791044777+0j)
p-4-num6-appear,(0.15522388059701492+0j)
p-4-num7-appear,(0.16268656716417912+0j)
p-5-num1-appear,(0.14626865671641792+0j)
p-5-num2-appear,(0.15522388059701492+0j)
p-5-num3-appear,(0.1701492537313433+0j)
p-5-num4-appear,(0.15671641791044777+0j)
p-5-num5-appear,(0.15223880597014924+0j)
p-5-num6-appear,(0.1492537313432836+0j)
p-5-num7-appear,(0.1417910447761194+0j)
p-6-num1-appear,(0.15671641791044777+0j)
p-6-num2-appear,(0.1492537313432836+0j)
p-6-num3-appear,(0.13880597014925372+0j)
p-6-num4-appear,(0.16119402985074627+0j)
p-6-num5-appear,(0.1701492537313433+0j)
p-6-num6-appear,(0.1373134328358209+0j)
p-6-num7-appear,(0.15074626865671642+0j)
p-7-num1-appear,(0.1701492537313433+0j)
p-7-num2-appear,(0.13582089552238807+0j)
p-7-num3-appear,(0.15671641791044777+0j)
p-7-num4-appear,(0.15522388059701492+0j)
p-7-num5-appear,(0.1537313432835821+0j)
p-7-num6-appear,(0.16716417910447762+0j)
p-7-num7-appear,(0.15522388059701492+0j)
p-8-num1-appear,(0.15074626865671642+0j)
p-8-num2-appear,(0.1492537313432836+0j)
p-8-num3-appear,(0.16417910447761194+0j)
p-8-num4-appear,(0.14776119402985075+0j)
p-8-num5-appear,(0.15074626865671642+0j)
p-8-num6-appear,(0.15522388059701492+0j)
p-8-num7-appear,(0.1791044776119403+0j)
p-9-num1-appear,(0.1582089552238806+0j)
p-9-num2-appear,(0.18358208955223881+0j)
p-9-num3-appear,(0.13880597014925372+0j)
p-9-num4-appear,(0.1328358208955224+0j)
p-9-num5-appear,(0.1328358208955224+0j)
p-9-num6-appear,(0.1701492537313433+0j)
p-9-num7-appear,(0.13134328358208955+0j)
p-10-num1-appear,(0.14029850746268657+0j)
p-10-num2-appear,(0.17611940298507464+0j)
p-10-num3-appear,(0.1791044776119403+0j)
p-10-num4-appear,(0.15671641791044777+0j)
p-10-num5-appear,(0.15223880597014924+0j)
p-10-num6-appear,(0.15522388059701492+0j)
p-10-num7-appear,(0.1492537313432836+0j)
p-1-appear,(0.7432835820895523+0j)
p-1-appear-count,(1.0791044776119403+0j)
p-1-exclude-count,(7+0j)
p-1-previous-common-appear,0j
p-1-previous-common-appear-count,0j
p-1-previous-common-exclude-count,0j
p-1-only-appear,(0.7432835820895523+0j)
p-1-only-appear-count,(1.0791044776119403+0j)
p-1-only-exclude-count,(7+0j)
p-2-appear,(0.9432835820895522+0j)
p-2-appear-count,(2.0417910447761196+0j)
p-2-exclude-count,(12.923880597014925+0j)
p-2-previous-common-appear,(0.15970149253731344+0j)
p-2-previous-common-appear-count,(0.16716417910447762+0j)
p-2-previous-common-exclude-count,(1.0761194029850747+0j)
p-2-only-appear,(0.7328358208955223+0j)
p-2-only-appear-count,(1.1298507462686567+0j)
p-2-only-exclude-count,(7+0j)
p-3-appear,(0.9850746268656716+0j)
p-3-appear-count,(2.819402985074627+0j)
p-3-exclude-count,(17.885074626865674+0j)
p-3-previous-common-appear,(0.382089552238806+0j)
p-3-previous-common-appear-count,(0.45671641791044776+0j)
p-3-previous-common-exclude-count,(2.9477611940298507+0j)
p-3-only-appear,(0.7208955223880598+0j)
p-3-only-appear-count,(1.0970149253731343+0j)
p-3-only-exclude-count,(7+0j)
p-4-appear,(0.9955223880597015+0j)
p-4-appear-count,(3.435820895522388+0j)
p-4-exclude-count,(22.068656716417912+0j)
