,draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2,p-1-num1,p-1-num2,p-1-num3,p-1-num4,p-1-num5,p-1-num6,p-1-num7,p-1-sup1,p-1-sup2,p-2-num1,p-2-num2,p-2-num3,p-2-num4,p-2-num5,p-2-num6,p-2-num7,p-2-sup1,p-2-sup2,p-3-num1,p-3-num2,p-3-num3,p-3-num4,p-3-num5,p-3-num6,p-3-num7,p-3-sup1,p-3-sup2,p-4-num1,p-4-num2,p-4-num3,p-4-num4,p-4-num5,p-4-num6,p-4-num7,p-4-sup1,p-4-sup2,p-5-num1,p-5-num2,p-5-num3,p-5-num4,p-5-num5,p-5-num6,p-5-num7,p-5-sup1,p-5-sup2,p-6-num1,p-6-num2,p-6-num3,p-6-num4,p-6-num5,p-6-num6,p-6-num7,p-6-sup1,p-6-sup2,p-7-num1,p-7-num2,p-7-num3,p-7-num4,p-7-num5,p-7-num6,p-7-num7,p-7-sup1,p-7-sup2,p-8-num1,p-8-num2,p-8-num3,p-8-num4,p-8-num5,p-8-num6,p-8-num7,p-8-sup1,p-8-sup2,p-9-num1,p-9-num2,p-9-num3,p-9-num4,p-9-num5,p-9-num6,p-9-num7,p-9-sup1,p-9-sup2,p-10-num1,p-10-num2,p-10-num3,p-10-num4,p-10-num5,p-10-num6,p-10-num7,p-10-sup1,p-10-sup2,p-1,p-2,p-3,p-4,p-5,p-6,p-7,p-8,p-9,p-10,current,random,p-1-9-gong,p-2-9-gong,p-3-9-gong,p-4-9-gong,p-5-9-gong,p-6-9-gong,p-7-9-gong,p-8-9-gong,p-9-9-gong,p-10-9-gong
10,619,20051227,35,12,17,2,40,31,39,33,13,14,29,9,23,18,19,5,8,37,15,41,17,10,4,26,30,9,29,41,26,28,33,3,6,32,40,1,39,35,31,4,26,23,41,11,13,45,23,5,4,33,1,29,39,40,13,17,30,7,32,41,10,20,14,22,33,18,12,45,43,28,23,13,24,34,17,3,11,1,43,39,4,42,7,36,23,39,29,16,19,43,39,9,12,30,33,45,5,7,19,"[14, 29, 9, 23, 18, 19, 5]","[15, 41, 17, 10, 4, 26, 30]","[41, 26, 28, 33, 3, 6, 32]","[39, 35, 31, 4, 26, 23, 41]","[45, 23, 5, 4, 33, 1, 29]","[13, 17, 30, 7, 32, 41, 10]","[22, 33, 18, 12, 45, 43, 28]","[24, 34, 17, 3, 11, 1, 43]","[42, 7, 36, 23, 39, 29, 16]","[39, 9, 12, 30, 33, 45, 5]","[35, 12, 17, 2, 40, 31, 39]","[35, 3, 39, 9, 43, 20, 28]","[29, 37, 37, 27, 1, 13, 31]","[31, 10, 24, 26, 21, 34, 1]","[38, 10, 23, 7, 16, 19, 13]","[34, 1, 35, 29, 41, 25, 22]","[1, 28, 21, 29, 31, 4, 40]","[27, 19, 31, 5, 26, 34, 16]","[45, 28, 28, 40, 1, 40, 34]","[4, 37, 24, 22, 11, 4, 34]","[40, 19, 10, 27, 16, 43, 7]","[34, 37, 4, 31, 31, 1, 31]"
11,620,20060103,12,44,1,40,29,6,22,34,4,35,12,17,2,40,31,39,33,13,14,29,9,23,18,19,5,8,37,15,41,17,10,4,26,30,9,29,41,26,28,33,3,6,32,40,1,39,35,31,4,26,23,41,11,13,45,23,5,4,33,1,29,39,40,13,17,30,7,32,41,10,20,14,22,33,18,12,45,43,28,23,13,24,34,17,3,11,1,43,39,4,42,7,36,23,39,29,16,19,43,"[35, 12, 17, 2, 40, 31, 39]","[14, 29, 9, 23, 18, 19, 5]","[15, 41, 17, 10, 4, 26, 30]","[41, 26, 28, 33, 3, 6, 32]","[39, 35, 31, 4, 26, 23, 41]","[45, 23, 5, 4, 33, 1, 29]","[13, 17, 30, 7, 32, 41, 10]","[22, 33, 18, 12, 45, 43, 28]","[24, 34, 17, 3, 11, 1, 43]","[42, 7, 36, 23, 39, 29, 16]","[12, 44, 1, 40, 29, 6, 22]","[4, 39, 41, 15, 16, 22, 26]","[26, 19, 24, 15, 21, 4, 10]","[29, 37, 37, 27, 1, 13, 31]","[31, 10, 24, 26, 21, 34, 1]","[38, 10, 23, 7, 16, 19, 13]","[34, 1, 35, 29, 41, 25, 22]","[1, 28, 21, 29, 31, 4, 40]","[27, 19, 31, 5, 26, 34, 16]","[45, 28, 28, 40, 1, 40, 34]","[4, 37, 24, 22, 11, 4, 34]","[40, 19, 10, 27, 16, 43, 7]"
12,621,20060110,41,26,36,4,2,38,11,19,20,12,44,1,40,29,6,22,34,4,35,12,17,2,40,31,39,33,13,14,29,9,23,18,19,5,8,37,15,41,17,10,4,26,30,9,29,41,26,28,33,3,6,32,40,1,39,35,31,4,26,23,41,11,13,45,23,5,4,33,1,29,39,40,13,17,30,7,32,41,10,20,14,22,33,18,12,45,43,28,23,13,24,34,17,3,11,1,43,39,4,"[12, 44, 1, 40, 29, 6, 22]","[35, 12, 17, 2, 40, 31, 39]","[14, 29, 9, 23, 18, 19, 5]","[15, 41, 17, 10, 4, 26, 30]","[41, 26, 28, 33, 3, 6, 32]","[39, 35, 31, 4, 26, 23, 41]","[45, 23, 5, 4, 33, 1, 29]","[13, 17, 30, 7, 32, 41, 10]","[22, 33, 18, 12, 45, 43, 28]","[24, 34, 17, 3, 11, 1, 43]","[41, 26, 36, 4, 2, 38, 11]","[3, 39, 10, 45, 13, 21, 26]","[25, 37, 5, 11, 11, 19, 43]","[26, 19, 24, 15, 21, 4, 10]","[29, 37, 37, 27, 1, 13, 31]","[31, 10, 24, 26, 21, 34, 1]","[38, 10, 23, 7, 16, 19, 13]","[34, 1, 35, 29, 41, 25, 22]","[1, 28, 21, 29, 31, 4, 40]","[27, 19, 31, 5, 26, 34, 16]","[45, 28, 28, 40, 1, 40, 34]","[4, 37, 24, 22, 11, 4, 34]"
13,622,20060117,27,16,28,44,25,37,23,19,22,41,26,36,4,2,38,11,19,20,12,44,1,40,29,6,22,34,4,35,12,17,2,40,31,39,33,13,14,29,9,23,18,19,5,8,37,15,41,17,10,4,26,30,9,29,41,26,28,33,3,6,32,40,1,39,35,31,4,26,23,41,11,13,45,23,5,4,33,1,29,39,40,13,17,30,7,32,41,10,20,14,22,33,18,12,45,43,28,23,13,"[41, 26, 36, 4, 2, 38, 11]","[12, 44, 1, 40, 29, 6, 22]","[35, 12, 17, 2, 40, 31, 39]","[14, 29, 9, 23, 18, 19, 5]","[15, 41, 17, 10, 4, 26, 30]","[41, 26, 28, 33, 3, 6, 32]","[39, 35, 31, 4, 26, 23, 41]","[45, 23, 5, 4, 33, 1, 29]","[13, 17, 30, 7, 32, 41, 10]","[22, 33, 18, 12, 45, 43, 28]","[27, 16, 28, 44, 25, 37, 23]","[1, 4, 43, 15, 18, 22, 25]","[38, 10, 10, 29, 11, 25, 22]","[25, 37, 5, 11, 11, 19, 43]","[26, 19, 24, 15, 21, 4, 10]","[29, 37, 37, 27, 1, 13, 31]","[31, 10, 24, 26, 21, 34, 1]","[38, 10, 23, 7, 16, 19, 13]","[34, 1, 35, 29, 41, 25, 22]","[1, 28, 21, 29, 31, 4, 40]","[27, 19, 31, 5, 26, 34, 16]","[45, 28, 28, 40, 1, 40, 34]"
14,623,20060124,22,23,3,20,37,8,41,21,28,27,16,28,44,25,37,23,19,22,41,26,36,4,2,38,11,19,20,12,44,1,40,29,6,22,34,4,35,12,17,2,40,31,39,33,13,14,29,9,23,18,19,5,8,37,15,41,17,10,4,26,30,9,29,41,26,28,33,3,6,32,40,1,39,35,31,4,26,23,41,11,13,45,23,5,4,33,1,29,39,40,13,17,30,7,32,41,10,20,14,"[27, 16, 28, 44, 25, 37, 23]","[41, 26, 36, 4, 2, 38, 11]","[12, 44, 1, 40, 29, 6, 22]","[35, 12, 17, 2, 40, 31, 39]","[14, 29, 9, 23, 18, 19, 5]","[15, 41, 17, 10, 4, 26, 30]","[41, 26, 28, 33, 3, 6, 32]","[39, 35, 31, 4, 26, 23, 41]","[45, 23, 5, 4, 33, 1, 29]","[13, 17, 30, 7, 32, 41, 10]","[22, 23, 3, 20, 37, 8, 41]","[1, 12, 45, 13, 17, 20, 25]","[10, 10, 23, 39, 36, 22, 4]","[38, 10, 10, 29, 11, 25, 22]","[25, 37, 5, 11, 11, 19, 43]","[26, 19, 24, 15, 21, 4, 10]","[29, 37, 37, 27, 1, 13, 31]","[31, 10, 24, 26, 21, 34, 1]","[38, 10, 23, 7, 16, 19, 13]","[34, 1, 35, 29, 41, 25, 22]","[1, 28, 21, 29, 31, 4, 40]","[27, 19, 31, 5, 26, 34, 16]"
15,624,20060131,20,14,17,8,3,21,2,38,7,22,23,3,20,37,8,41,21,28,27,16,28,44,25,37,23,19,22,41,26,36,4,2,38,11,19,20,12,44,1,40,29,6,22,34,4,35,12,17,2,40,31,39,33,13,14,29,9,23,18,19,5,8,37,15,41,17,10,4,26,30,9,29,41,26,28,33,3,6,32,40,1,39,35,31,4,26,23,41,11,13,45,23,5,4,33,1,29,39,40,"[22, 23, 3, 20, 37, 8, 41]","[27, 16, 28, 44, 25, 37, 23]","[41, 26, 36, 4, 2, 38, 11]","[12, 44, 1, 40, 29, 6, 22]","[35, 12, 17, 2, 40, 31, 39]","[14, 29, 9, 23, 18, 19, 5]","[15, 41, 17, 10, 4, 26, 30]","[41, 26, 28, 33, 3, 6, 32]","[39, 35, 31, 4, 26, 23, 41]","[45, 23, 5, 4, 33, 1, 29]","[20, 14, 17, 8, 3, 21, 2]","[33, 2, 4, 39, 9, 23, 30]","[45, 28, 13, 6, 6, 25, 22]","[10, 10, 23, 39, 36, 22, 4]","[38, 10, 10, 29, 11, 25, 22]","[25, 37, 5, 11, 11, 19, 43]","[26, 19, 24, 15, 21, 4, 10]","[29, 37, 37, 27, 1, 13, 31]","[31, 10, 24, 26, 21, 34, 1]","[38, 10, 23, 7, 16, 19, 13]","[34, 1, 35, 29, 41, 25, 22]","[1, 28, 21, 29, 31, 4, 40]"
16,625,20060207,5,32,26,4,30,23,28,11,21,20,14,17,8,3,21,2,38,7,22,23,3,20,37,8,41,21,28,27,16,28,44,25,37,23,19,22,41,26,36,4,2,38,11,19,20,12,44,1,40,29,6,22,34,4,35,12,17,2,40,31,39,33,13,14,29,9,23,18,19,5,8,37,15,41,17,10,4,26,30,9,29,41,26,28,33,3,6,32,40,1,39,35,31,4,26,23,41,11,13,"[20, 14, 17, 8, 3, 21, 2]","[22, 23, 3, 20, 37, 8, 41]","[27, 16, 28, 44, 25, 37, 23]","[41, 26, 36, 4, 2, 38, 11]","[12, 44, 1, 40, 29, 6, 22]","[35, 12, 17, 2, 40, 31, 39]","[14, 29, 9, 23, 18, 19, 5]","[15, 41, 17, 10, 4, 26, 30]","[41, 26, 28, 33, 3, 6, 32]","[39, 35, 31, 4, 26, 23, 41]","[5, 32, 26, 4, 30, 23, 28]","[2, 4, 11, 45, 25, 29, 31]","[41, 37, 24, 12, 16, 19, 13]","[45, 28, 13, 6, 6, 25, 22]","[10, 10, 23, 39, 36, 22, 4]","[38, 10, 10, 29, 11, 25, 22]","[25, 37, 5, 11, 11, 19, 43]","[26, 19, 24, 15, 21, 4, 10]","[29, 37, 37, 27, 1, 13, 31]","[31, 10, 24, 26, 21, 34, 1]","[38, 10, 23, 7, 16, 19, 13]","[34, 1, 35, 29, 41, 25, 22]"
17,626,20060214,13,5,1,21,11,3,35,37,44,5,32,26,4,30,23,28,11,21,20,14,17,8,3,21,2,38,7,22,23,3,20,37,8,41,21,28,27,16,28,44,25,37,23,19,22,41,26,36,4,2,38,11,19,20,12,44,1,40,29,6,22,34,4,35,12,17,2,40,31,39,33,13,14,29,9,23,18,19,5,8,37,15,41,17,10,4,26,30,9,29,41,26,28,33,3,6,32,40,1,"[5, 32, 26, 4, 30, 23, 28]","[20, 14, 17, 8, 3, 21, 2]","[22, 23, 3, 20, 37, 8, 41]","[27, 16, 28, 44, 25, 37, 23]","[41, 26, 36, 4, 2, 38, 11]","[12, 44, 1, 40, 29, 6, 22]","[35, 12, 17, 2, 40, 31, 39]","[14, 29, 9, 23, 18, 19, 5]","[15, 41, 17, 10, 4, 26, 30]","[41, 26, 28, 33, 3, 6, 32]","[13, 5, 1, 21, 11, 3, 35]","[3, 6, 7, 18, 20, 24, 27]","[11, 19, 15, 29, 16, 25, 34]","[41, 37, 24, 12, 16, 19, 13]","[45, 28, 13, 6, 6, 25, 22]","[10, 10, 23, 39, 36, 22, 4]","[38, 10, 10, 29, 11, 25, 22]","[25, 37, 5, 11, 11, 19, 43]","[26, 19, 24, 15, 21, 4, 10]","[29, 37, 37, 27, 1, 13, 31]","[31, 10, 24, 26, 21, 34, 1]","[38, 10, 23, 7, 16, 19, 13]"
18,627,20060221,17,33,6,41,27,45,25,1,9,13,5,1,21,11,3,35,37,44,5,32,26,4,30,23,28,11,21,20,14,17,8,3,21,2,38,7,22,23,3,20,37,8,41,21,28,27,16,28,44,25,37,23,19,22,41,26,36,4,2,38,11,19,20,12,44,1,40,29,6,22,34,4,35,12,17,2,40,31,39,33,13,14,29,9,23,18,19,5,8,37,15,41,17,10,4,26,30,9,29,"[13, 5, 1, 21, 11, 3, 35]","[5, 32, 26, 4, 30, 23, 28]","[20, 14, 17, 8, 3, 21, 2]","[22, 23, 3, 20, 37, 8, 41]","[27, 16, 28, 44, 25, 37, 23]","[41, 26, 36, 4, 2, 38, 11]","[12, 44, 1, 40, 29, 6, 22]","[35, 12, 17, 2, 40, 31, 39]","[14, 29, 9, 23, 18, 19, 5]","[15, 41, 17, 10, 4, 26, 30]","[17, 33, 6, 41, 27, 45, 25]","[7, 9, 43, 15, 25, 26, 28]","[27, 1, 5, 13, 11, 10, 31]","[11, 19, 15, 29, 16, 25, 34]","[41, 37, 24, 12, 16, 19, 13]","[45, 28, 13, 6, 6, 25, 22]","[10, 10, 23, 39, 36, 22, 4]","[38, 10, 10, 29, 11, 25, 22]","[25, 37, 5, 11, 11, 19, 43]","[26, 19, 24, 15, 21, 4, 10]","[29, 37, 37, 27, 1, 13, 31]","[31, 10, 24, 26, 21, 34, 1]"
19,628,20060228,21,25,34,2,18,3,5,17,32,17,33,6,41,27,45,25,1,9,13,5,1,21,11,3,35,37,44,5,32,26,4,30,23,28,11,21,20,14,17,8,3,21,2,38,7,22,23,3,20,37,8,41,21,28,27,16,28,44,25,37,23,19,22,41,26,36,4,2,38,11,19,20,12,44,1,40,29,6,22,34,4,35,12,17,2,40,31,39,33,13,14,29,9,23,18,19,5,8,37,"[17, 33, 6, 41, 27, 45, 25]","[13, 5, 1, 21, 11, 3, 35]","[5, 32, 26, 4, 30, 23, 28]","[20, 14, 17, 8, 3, 21, 2]","[22, 23, 3, 20, 37, 8, 41]","[27, 16, 28, 44, 25, 37, 23]","[41, 26, 36, 4, 2, 38, 11]","[12, 44, 1, 40, 29, 6, 22]","[35, 12, 17, 2, 40, 31, 39]","[14, 29, 9, 23, 18, 19, 5]","[21, 25, 34, 2, 18, 3, 5]","[7, 39, 41, 10, 18, 23, 28]","[35, 28, 25, 18, 1, 1, 16]","[27, 1, 5, 13, 11, 10, 31]","[11, 19, 15, 29, 16, 25, 34]","[41, 37, 24, 12, 16, 19, 13]","[45, 28, 13, 6, 6, 25, 22]","[10, 10, 23, 39, 36, 22, 4]","[38, 10, 10, 29, 11, 25, 22]","[25, 37, 5, 11, 11, 19, 43]","[26, 19, 24, 15, 21, 4, 10]","[29, 37, 37, 27, 1, 13, 31]"
