,draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2,num1%3,num1/3,num2%3,num2/3,num3%3,num3/3,num4%3,num4/3,num5%3,num5/3,num6%3,num6/3,num7%3,num7/3,sup1%3,sup1/3,sup2%3,sup2/3
0,609,20051018,39,9,12,30,33,45,5,7,19,0,2,0,0,0,0,0,1,0,2,0,2,2,0,1,0,1,1
1,610,20051025,42,7,36,23,39,29,16,19,43,0,2,1,0,0,2,2,1,0,2,2,1,1,1,1,1,1,2
2,611,20051101,24,34,17,3,11,1,43,39,4,0,1,1,2,2,1,0,0,2,0,1,0,1,2,0,2,1,0
3,612,20051108,22,33,18,12,45,43,28,23,13,1,1,0,2,0,1,0,0,0,2,1,2,1,1,2,1,1,0
4,613,20051115,13,17,30,7,32,41,10,20,14,1,0,2,1,0,1,1,0,2,2,2,2,1,0,2,1,2,0
5,614,20051122,45,23,5,4,33,1,29,39,40,0,2,2,1,2,0,1,0,0,2,1,0,2,1,0,2,1,2
6,615,20051129,39,35,31,4,26,23,41,11,13,0,2,2,2,1,2,1,0,2,1,2,1,2,2,2,0,1,0
7,616,20051206,41,26,28,33,3,6,32,40,1,2,2,2,1,1,1,0,2,0,0,0,0,2,2,1,2,1,0
8,617,20051213,15,41,17,10,4,26,30,9,29,0,0,2,2,2,1,1,0,1,0,2,1,0,1,0,0,2,1
9,618,20051220,14,29,9,23,18,19,5,8,37,2,0,2,1,0,0,2,1,0,1,1,1,2,0,2,0,1,2
10,619,20051227,35,12,17,2,40,31,39,33,13,2,2,0,0,2,1,2,0,1,2,1,2,0,2,0,2,1,0
11,620,20060103,12,44,1,40,29,6,22,34,4,0,0,2,2,1,0,1,2,2,1,0,0,1,1,1,2,1,0
12,621,20060110,41,26,36,4,2,38,11,19,20,2,2,2,1,0,2,1,0,2,0,2,2,2,0,1,1,2,1
13,622,20060117,27,16,28,44,25,37,23,19,22,0,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1
14,623,20060124,22,23,3,20,37,8,41,21,28,1,1,2,1,0,0,2,1,1,2,2,0,2,2,0,1,1,1
15,624,20060131,20,14,17,8,3,21,2,38,7,2,1,2,0,2,1,2,0,0,0,0,1,2,0,2,2,1,0
16,625,20060207,5,32,26,4,30,23,28,11,21,2,0,2,2,2,1,1,0,0,1,2,1,1,1,2,0,0,1
17,626,20060214,13,5,1,21,11,3,35,37,44,1,0,2,0,1,0,0,1,2,0,0,0,2,2,1,2,2,2
18,627,20060221,17,33,6,41,27,45,25,1,9,2,1,0,2,0,0,2,2,0,1,0,2,1,1,1,0,0,0
19,628,20060228,21,25,34,2,18,3,5,17,32,0,1,1,1,1,2,2,0,0,1,0,0,2,0,2,1,2,2
20,629,20060307,43,9,1,8,45,20,7,24,30,1,2,0,0,1,0,2,0,0,2,2,1,1,0,0,1,0,1
21,630,20060314,45,14,4,33,19,20,3,12,34,0,2,2,0,1,0,0,2,1,1,2,1,0,0,0,0,1,2
22,631,20060321,22,23,27,13,39,21,32,35,10,1,1,2,1,0,1,1,0,0,2,0,1,2,2,2,2,1,0
23,632,20060328,25,15,4,6,20,28,23,8,1,1,1,0,0,1,0,0,0,2,1,1,1,2,1,2,0,1,0
24,633,20060404,20,38,27,32,19,45,22,39,15,2,1,2,2,0,1,2,2,1,1,0,2,1,1,0,2,0,0
25,634,20060411,1,10,6,19,9,29,8,3,14,1,0,1,0,0,0,1,1,0,0,2,1,2,0,0,0,2,0
26,635,20060418,4,25,10,16,19,22,8,15,20,1,0,1,1,1,0,1,1,1,1,1,1,2,0,0,0,2,1
27,636,20060425,1,9,33,2,24,26,5,13,40,1,0,0,0,0,2,2,0,0,1,2,1,2,0,1,0,1,2
28,637,20060502,44,30,13,41,25,31,24,19,35,2,2,0,1,1,0,2,2,1,1,1,2,0,1,1,1,2,2
29,638,20060509,44,35,37,26,12,39,4,41,6,2,2,2,2,1,2,2,1,0,0,0,2,1,0,2,2,0,0
30,639,20060516,3,12,17,23,15,9,29,19,22,0,0,0,0,2,1,2,1,0,0,0,0,2,1,1,1,1,1
