draw,date, 1,2,3,4,5,6,7,p
877,20130307,8,16,26,29,19,25,x,5
878,20130314,37,5,35,30,9,23,x,18
879,20130321,22,3,26,38,34,32,x,18
880,20130328,28,5,26,27,2,21,x,19
881,20130404,34,39,21,38,35,7,x,5
882,20130411,28,35,24,40,4,7,x,12
883,20130418,32,29,25,33,34,20,x,2
884,20130425,26,13,22,18,4,17,x,20
885,20130502,34,37,23,10,4,39,x,20
886,20130509,33,2,26,23,30,4,x,4
887,20130516,24,26,31,23,40,4,x,13
888,20130523,6,26,14,27,10,1,x,7
889,20130530,29,10,26,34,37,19,x,16
890,20130606,29,16,20,26,5,14,x,8
891,20130613,11,38,12,25,24,13,x,7
892,20130620,33,8,37,19,5,17,x,14
893,20130627,25,3,4,10,28,32,x,9
894,20130704,23,17,8,16,14,1,x,11
895,20130711,21,15,10,9,35,38,x,9
896,20130718,26,30,36,32,29,15,x,4
897,20130725,6,28,20,7,40,23,x,15
898,20130801,4,24,29,23,16,18,x,8
899,20130808,23,1,20,25,22,8,x,12
900,20130815,12,9,3,27,23,14,x,12
901,20130822,15,37,32,6,24,10,x,11
902,20130829,29,6,4,34,3,39,x,7
903,20130905,12,2,10,16,14,20,x,8
904,20130912,5,36,29,15,40,22,x,4
905,20130919,9,7,4,20,29,19,x,12
906,20130926,17,23,7,9,40,12,x,8
907,20131003,18,10,9,33,31,30,x,10
908,20131010,39,4,19,32,13,27,x,16
909,20131017,30,4,19,12,13,8,x,2
910,20131024,12,2,20,14,38,30,x,15
911,20131031,36,13,28,4,34,17,x,19
912,20131107,27,14,34,9,13,25,x,15
913,20131114,8,5,16,15,18,29,x,19
914,20131121,1,16,27,34,19,10,x,10
915,20131128,22,37,20,12,23,18,x,5
916,20131205,16,37,11,4,21,6,x,3
917,20131212,33,24,40,16,39,37,x,1
918,20131219,12,35,10,32,30,11,x,10
919,20131226,16,39,7,35,3,25,x,13
920,20140102,8,38,36,29,13,4,x,3
921,20140109,24,14,18,20,29,19,x,11
922,20140116,19,27,37,34,33,26,x,20
923,20140123,28,9,24,14,7,31,x,11
924,20140130,9,29,32,14,15,13,x,17
925,20140206,13,7,22,3,5,10,x,15
926,20140213,34,11,24,6,8,13,x,7
927,20140220,6,40,25,29,26,4,x,18
928,20140227,34,1,18,30,22,14,x,17
929,20140306,38,26,28,20,24,21,x,15
930,20140313,3,31,37,9,38,4,x,6
931,20140320,39,34,11,20,22,27,x,6
932,20140327,21,39,2,34,15,19,x,10
933,20140403,29,27,18,32,28,16,x,2
934,20140410,36,38,21,39,29,22,x,12
935,20140417,16,8,11,20,23,29,x,9
936,20140424,33,36,8,15,21,19,x,3
937,20140501,21,36,28,33,37,5,x,2
938,20140508,13,21,8,28,34,7,x,4
939,20140515,36,8,30,32,34,35,x,4
940,20140522,3,20,13,6,12,4,x,1
941,20140529,21,32,15,2,14,22,x,15
942,20140605,17,35,11,14,3,6,x,4
943,20140612,29,6,32,19,39,24,x,7
944,20140619,26,30,35,40,17,32,x,19
945,20140626,20,10,33,32,2,9,x,7
946,20140703,31,28,38,36,26,27,x,15
947,20140710,33,20,21,15,13,10,x,2
948,20140717,39,1,9,31,6,38,x,10
949,20140724,8,1,21,31,11,15,x,20
950,20140731,23,31,37,16,5,24,x,15
951,20140807,27,7,32,26,12,31,x,12
952,20140814,12,1,38,31,8,26,x,6
953,20140821,32,8,5,40,19,7,x,12
954,20140828,9,11,28,26,23,14,x,11
955,20140904,25,17,24,26,2,18,x,6
956,20140911,30,40,4,39,16,18,x,19
957,20140918,35,10,3,34,16,11,x,4
958,20140925,32,9,19,40,27,31,x,1
959,20141002,17,13,27,18,25,23,x,1
960,20141009,24,35,2,26,25,29,x,8
961,20141016,13,9,26,18,4,34,x,3
962,20141023,39,30,19,13,24,22,x,11
963,20141030,4,30,15,6,1,36,x,5
964,20141106,39,27,29,5,12,21,x,19
965,20141113,5,7,19,4,14,28,x,18
966,20141120,37,36,25,24,7,26,x,12
967,20141127,5,3,37,32,22,10,x,13
968,20141204,5,8,6,36,39,4,x,8
969,20141211,32,9,36,20,7,31,x,19
970,20141218,14,33,36,24,38,35,x,2
971,20141225,32,19,13,38,16,31,x,5
972,20150101,24,25,27,34,32,18,x,6
973,20150108,2,10,32,37,34,15,x,5
974,20150115,5,31,13,20,26,37,x,3
975,20150122,38,25,40,17,22,13,x,2
976,20150129,35,37,6,3,18,32,x,2
977,20150205,22,21,16,36,29,31,x,13
978,20150212,11,28,39,3,1,5,x,10
979,20150219,27,38,4,7,3,36,x,11
980,20150226,19,22,36,5,18,8,x,9
981,20150305,4,6,23,32,2,28,x,7
982,20150312,4,6,8,23,40,32,x,1
983,20150319,14,24,8,18,35,7,x,15
984,20150326,19,15,25,1,35,10,x,18
985,20150402,9,5,23,11,24,33,x,13
986,20150409,37,6,9,17,30,23,x,11
987,20150416,29,18,6,27,8,25,x,2
988,20150423,32,9,34,2,27,25,x,8
989,20150430,15,37,6,18,35,24,x,15
990,20150507,33,19,20,10,32,22,x,12
991,20150514,5,31,38,29,13,27,x,1
992,20150521,13,35,6,40,31,14,x,16
993,20150528,39,26,31,25,37,29,x,2
994,20150604,4,8,33,21,3,16,x,8
995,20150611,14,32,16,18,35,17,x,1
996,20150618,37,22,25,15,10,34,x,19
997,20150625,24,26,37,25,1,4,x,19
998,20150702,17,7,39,26,23,37,x,12
999,20150709,19,17,35,27,2,24,x,11
1000,20150716,18,39,2,5,25,11,x,2
1001,20150723,3,9,27,32,25,21,x,18
1002,20150730,7,20,3,21,36,1,x,19
1003,20150806,26,16,17,25,7,5,x,17
1004,20150813,5,11,26,1,12,39,x,14
1005,20150820,17,20,33,3,19,2,x,1
1006,20150827,6,5,23,11,2,28,x,14
1007,20150903,3,15,32,33,21,30,x,17
1008,20150910,15,24,38,29,11,12,x,15
1009,20150917,7,16,21,40,39,38,x,10
1010,20150924,15,39,7,34,21,16,x,5
1011,20151001,17,3,16,5,27,40,x,18
1012,20151008,35,6,27,20,5,13,x,3
1013,20151015,23,6,20,13,7,29,x,18
1014,20151022,12,9,31,18,38,35,x,10
1015,20151029,10,26,4,34,23,24,x,5
1016,20151105,17,13,19,31,20,24,x,19
