1,2,3,4,5,result
20130307,0,0,0,0,1
20130314,0,1,0,1,0
20130321,1,1,1,2,0
20130328,2,1,1,3,1
20130404,2,2,2,1,1
20130411,2,3,3,1,0
20130418,3,3,1,2,0
20130425,4,3,1,3,0
20130502,5,3,1,4,0
20130509,6,3,1,5,0
20130516,7,3,1,6,1
20130523,7,4,2,1,1
20130530,7,5,3,1,0
20130606,8,5,1,2,0
20130613,9,5,1,3,1
20130620,9,6,2,1,0
20130627,10,6,1,2,1
20130704,10,7,2,1,1
20130711,10,8,3,1,1
20130718,10,9,4,1,0
20130725,11,9,1,2,1
20130801,11,10,2,1,0
20130808,12,10,1,2,0
20130815,13,10,1,3,0
20130822,14,10,1,4,1
20130829,14,11,2,1,1
20130905,14,12,3,1,0
20130912,15,12,1,2,0
20130919,16,12,1,3,0
20130926,17,12,1,4,0
20131003,18,12,1,5,0
20131010,19,12,1,6,0
20131017,20,12,1,7,0
20131024,21,12,1,8,1
20131031,21,13,2,1,1
20131107,21,14,3,1,1
20131114,21,15,4,1,1
20131121,21,16,5,1,0
20131128,22,16,1,2,1
20131205,22,17,2,1,1
20131212,22,18,3,1,1
20131219,22,19,4,1,0
20131226,23,19,1,2,1
20140102,23,20,2,1,1
20140109,23,21,3,1,1
20140116,23,22,4,1,0
20140123,24,22,1,2,1
20140130,24,23,2,1,1
20140206,24,24,3,1,1
20140213,24,25,4,1,1
20140220,24,26,5,1,0
20140227,25,26,1,2,1
20140306,25,27,2,1,1
20140313,25,28,3,1,0
20140320,26,28,1,2,0
20140327,27,28,1,3,0
20140403,28,28,1,4,0
20140410,29,28,1,5,0
20140417,30,28,1,6,1
20140424,30,29,2,1,1
20140501,30,30,3,1,0
20140508,31,30,1,2,0
20140515,32,30,1,3,0
20140522,33,30,1,4,1
20140529,33,31,2,1,1
20140605,33,32,3,1,0
20140612,34,32,1,2,1
20140619,34,33,2,1,1
20140626,34,34,3,1,1
20140703,34,35,4,1,1
20140710,34,36,5,1,0
20140717,35,36,1,2,0
20140724,36,36,1,3,0
20140731,37,36,1,4,1
20140807,37,37,2,1,0
20140814,38,37,1,2,0
20140821,39,37,1,3,0
20140828,40,37,1,4,1
20140904,40,38,2,1,0
20140911,41,38,1,2,1
20140918,41,39,2,1,0
20140925,42,39,1,2,1
20141002,42,40,2,1,1
20141009,42,41,3,1,0
20141016,43,41,1,2,1
20141023,43,42,2,1,1
20141030,43,43,3,1,1
20141106,43,44,4,1,1
20141113,43,45,5,1,0
20141120,44,45,1,2,0
20141127,45,45,1,3,1
20141204,45,46,2,1,0
20141211,46,46,1,2,1
20141218,46,47,2,1,0
20141225,47,47,1,2,1
20150101,47,48,2,1,0
20150108,48,48,1,2,1
20150115,48,49,2,1,1
20150122,48,50,3,1,0
20150129,49,50,1,2,0
20150205,50,50,1,3,1
20150212,50,51,2,1,0
20150219,51,51,1,2,1
20150226,51,52,2,1,1
20150305,51,53,3,1,1
20150312,51,54,4,1,1
20150319,51,55,5,1,1
20150326,51,56,6,1,0
20150402,52,56,1,2,1
20150409,52,57,2,1,1
20150416,52,58,3,1,0
20150423,53,58,1,2,0
20150430,54,58,1,3,1
20150507,54,59,2,1,0
20150514,55,59,1,2,1
20150521,55,60,2,1,0
20150528,56,60,1,2,0
20150604,57,60,1,3,0
20150611,58,60,1,4,1
20150618,58,61,2,1,1
20150625,58,62,3,1,1
20150702,58,63,4,1,0
20150709,59,63,1,2,1
20150716,59,64,2,1,0
20150723,60,64,1,2,0
20150730,61,64,1,3,1
20150806,61,65,2,1,1
20150813,61,66,3,1,0
20150820,62,66,1,2,1
20150827,62,67,2,1,0
20150903,63,67,1,2,1
20150910,63,68,2,1,1
20150917,63,69,3,1,0
20150924,64,69,1,2,1
20151001,64,70,2,1,0
20151008,65,70,1,2,1
20151015,65,71,2,1,0
20151022,66,71,1,2,0
20151029,67,71,1,3,1
20151105,67,72,2,1,1
20151112,67,73,3,1,0
20151119,68,73,1,2,0
20151126,69,73,1,3,1
20151203,69,74,2,1,0
20151210,70,74,1,2,1
20151217,70,75,2,1,1
20151224,70,76,3,1,1
20151231,70,77,4,1,1
20160107,70,78,5,1,0
20160114,71,78,1,2,0
20160121,72,78,1,3,0
20160128,73,78,1,4,1
20160204,73,79,2,1,0
20160211,74,79,1,2,1
20160218,74,80,2,1,1
20160225,74,81,3,1,0
20160303,75,81,1,2,1
20160310,75,82,2,1,0
20160317,76,82,1,2,1
20160324,76,83,2,1,0
20160331,77,83,1,2,1
20160407,77,84,2,1,1
20160414,77,85,3,1,0
20160421,78,85,1,2,0
20160428,79,85,1,3,1
20160505,79,86,2,1,1
20160512,79,87,3,1,1
20160519,79,88,4,1,0
20160526,80,88,1,2,1
20160602,80,89,2,1,0
20160609,81,89,1,2,0
20160616,82,89,1,3,1
20160623,82,90,2,1,1
20160630,82,91,3,1,0
20160707,83,91,1,2,1
20160714,83,92,2,1,1
20160721,83,93,3,1,1
20160728,83,94,4,1,0
20160804,84,94,1,2,1
20160811,84,95,2,1,0
20160818,85,95,1,2,0
20160825,86,95,1,3,1
20160901,86,96,2,1,1
20160908,86,97,3,1,0
20160915,87,97,1,2,0
20160922,88,97,1,3,1
20160929,88,98,2,1,0
20161006,89,98,1,2,0
20161013,90,98,1,3,1
20161020,90,99,2,1,1
20161027,90,100,3,1,1
20161103,90,101,4,1,0
20161110,91,101,1,2,1
20161117,91,102,2,1,1
20161124,91,103,3,1,1
20161201,91,104,4,1,1
20161208,91,105,5,1,0
20161215,92,105,1,2,1
20161222,92,106,2,1,0
20161229,93,106,1,2,1
20170105,93,107,2,1,1
20170112,93,108,3,1,1
20170119,93,109,4,1,1
20170126,93,110,5,1,0
20170202,94,110,1,2,1
20170209,94,111,2,1,0
20170216,95,111,1,2,0
20170223,96,111,1,3,0
20170302,97,111,1,4,1
20170309,97,112,2,1,1
20170316,97,113,3,1,1
20170323,97,114,4,1,0
20170330,98,114,1,2,0
20170406,99,114,1,3,1
20170413,99,115,2,1,0
20170420,100,115,1,2,0
20170427,101,115,1,3,1
20170504,101,116,2,1,0
20170511,102,116,1,2,0
20170518,103,116,1,3,0
20170525,104,116,1,4,1
20170601,104,117,2,1,0
20170608,105,117,1,2,1
20170615,105,118,2,1,0
20170622,106,118,1,2,1
20170629,106,119,2,1,1
20170706,106,120,3,1,0
20170713,107,120,1,2,1
20170720,107,121,2,1,1
20170727,107,122,3,1,0
