Date,Open,High,Low,Close,Adj Close,Volume
1991-09-30,6.786900,6.786900,6.786900,6.786900,6.786900,0
1991-10-01,null,null,null,null,null,null
1991-10-02,null,null,null,null,null,null
1991-10-03,null,null,null,null,null,null
1991-10-04,null,null,null,null,null,null
1991-10-07,null,null,null,null,null,null
1991-10-08,null,null,null,null,null,null
1991-10-09,null,null,null,null,null,null
1991-10-10,null,null,null,null,null,null
1991-10-11,null,null,null,null,null,null
1991-10-14,null,null,null,null,null,null
1991-10-15,null,null,null,null,null,null
1991-10-16,null,null,null,null,null,null
1991-10-17,null,null,null,null,null,null
1991-10-18,null,null,null,null,null,null
1991-10-21,null,null,null,null,null,null
1991-10-22,null,null,null,null,null,null
1991-10-23,null,null,null,null,null,null
1991-10-24,null,null,null,null,null,null
1991-10-25,null,null,null,null,null,null
1991-10-27,null,null,null,null,null,null
1991-10-28,null,null,null,null,null,null
1991-10-29,null,null,null,null,null,null
1991-10-30,7.507630,7.507630,7.507630,7.507630,7.507630,0
1991-10-31,null,null,null,null,null,null
1991-11-03,null,null,null,null,null,null
1991-11-04,null,null,null,null,null,null
1991-11-05,null,null,null,null,null,null
1991-11-06,null,null,null,null,null,null
1991-11-07,null,null,null,null,null,null
1991-11-10,null,null,null,null,null,null
1991-11-11,null,null,null,null,null,null
1991-11-12,null,null,null,null,null,null
1991-11-13,null,null,null,null,null,null
1991-11-14,null,null,null,null,null,null
1991-11-17,null,null,null,null,null,null
1991-11-18,null,null,null,null,null,null
1991-11-19,null,null,null,null,null,null
1991-11-20,null,null,null,null,null,null
1991-11-21,null,null,null,null,null,null
1991-11-24,null,null,null,null,null,null
1991-11-25,null,null,null,null,null,null
1991-11-26,null,null,null,null,null,null
1991-11-27,null,null,null,null,null,null
1991-11-28,7.407530,7.407530,7.407530,7.407530,7.407530,0
1991-12-01,null,null,null,null,null,null
1991-12-02,null,null,null,null,null,null
1991-12-03,null,null,null,null,null,null
1991-12-04,null,null,null,null,null,null
1991-12-05,null,null,null,null,null,null
1991-12-08,null,null,null,null,null,null
1991-12-09,null,null,null,null,null,null
1991-12-10,null,null,null,null,null,null
1991-12-11,null,null,null,null,null,null
1991-12-12,null,null,null,null,null,null
1991-12-15,null,null,null,null,null,null
1991-12-16,null,null,null,null,null,null
1991-12-17,null,null,null,null,null,null
1991-12-18,null,null,null,null,null,null
1991-12-19,null,null,null,null,null,null
1991-12-22,null,null,null,null,null,null
1991-12-23,null,null,null,null,null,null
1991-12-24,null,null,null,null,null,null
1991-12-25,null,null,null,null,null,null
1991-12-26,null,null,null,null,null,null
1991-12-29,null,null,null,null,null,null
1991-12-30,7.868000,7.868000,7.868000,7.868000,7.868000,0
1991-12-31,null,null,null,null,null,null
1992-01-01,null,null,null,null,null,null
1992-01-02,null,null,null,null,null,null
1992-01-05,null,null,null,null,null,null
1992-01-06,null,null,null,null,null,null
1992-01-07,null,null,null,null,null,null
1992-01-08,null,null,null,null,null,null
1992-01-09,null,null,null,null,null,null
1992-01-12,null,null,null,null,null,null
1992-01-13,null,null,null,null,null,null
1992-01-14,null,null,null,null,null,null
1992-01-15,null,null,null,null,null,null
1992-01-16,null,null,null,null,null,null
1992-01-19,null,null,null,null,null,null
1992-01-20,null,null,null,null,null,null
1992-01-21,null,null,null,null,null,null
1992-01-22,null,null,null,null,null,null
1992-01-23,null,null,null,null,null,null
1992-01-26,null,null,null,null,null,null
1992-01-27,null,null,null,null,null,null
1992-01-28,null,null,null,null,null,null
1992-01-29,null,null,null,null,null,null
